,tweet_id,favorite_count,retweet_count,followers_count
58,880872448815771648,21734,3989,3200890
59,880465832366813184,29075,6546,3200890
60,880221127280381952,27640,4436,3200890
61,880095782870896641,28150,4533,3200890
62,879862464715927552,22667,3642,3200890
63,879674319642796034,315,10,3200890
64,879492040517615616,23822,3323,3200890
65,879415818425184262,107956,45849,3200891
66,879376492567855104,17099,3261,3200891
67,879130579576475649,0,7181,3200892
68,879050749262655488,23022,4941,3200892
69,879008229531029506,19317,2812,3200892
70,878776093423087618,19763,4319,3200892
71,878604707211726852,30931,7582,3200892
72,878404777348136964,0,1349,3200892
73,878316110768087041,0,6965,3200892
74,878281511006478336,7913,1349,3200892
75,878057613040115712,42876,7181,3200892
76,877736472329191424,71144,17300,3200892
77,877611172832227328,0,83,3200892
78,877556246731214848,23258,3994,3200892
79,877316821321428993,27907,5414,3200892
80,877201837425926144,27755,5880,3200892
81,876838120628539392,21125,3506,3200892
82,876537666061221889,23869,4800,3200892
83,876484053909872640,19163,2511,3200891
84,876120275196170240,28490,4903,3200891
85,875747767867523072,25773,4497,3200891
86,875144289856114688,22185,5081,3200891
87,875097192612077568,27997,6342,3200891
88,875021211251597312,26022,4922,3200891
89,874680097055178752,28439,4875,3200891
90,874434818259525634,0,15546,3200891
91,874296783580663808,26651,4308,3200891
92,874057562936811520,23134,4125,3200891
93,874012996292530176,35501,11007,3200891
94,873697596434513921,0,12518,3200891
95,873580283840344065,24837,4143,3200891
96,873337748698140672,0,1667,3200891
97,873213775632977920,7467,1667,3200891
98,872967104147763200,28031,5669,3200891
99,872820683541237760,15029,3884,3200891
100,872668790621863937,0,31,3200891
101,872620804844003328,21309,3911,3200891
102,872486979161796608,41606,9429,3200891
103,872261713294495745,35085,6649,3200891
104,872122724285648897,35324,8549,3200891
105,871879754684805121,39090,11918,3200891
106,871762521631449091,20787,3678,3200891
107,871515927908634625,20730,3628,3200891
108,871166179821445120,0,5991,3200891
109,871102520638267392,21461,5764,3200891
110,871032628920680449,23255,3999,3200891
111,870804317367881728,33791,6393,3200891
112,870726314365509632,121,3,3200891
113,870656317836468226,12819,2817,3200891
114,870374049280663552,85011,27680,3200891
115,870308999962521604,22453,4384,3200891
116,870063196459192321,37771,8840,3200891
117,869988702071779329,0,25661,3200891
118,869772420881756160,43710,10663,3200891
119,869702957897576449,29116,6728,3200891
120,869596645499047938,16476,3327,3200891
121,869227993411051520,21112,4023,3200891
122,868880397819494401,55098,12518,3200891
